Subject,Trait,Value,Action,Rating,Relevance
Org,Size,smaller,Eat,3,465
Food,Mateable,no,MatingOn,3,465
Org,Newborn,yes,MatingOn,6,1455
Org,Newborn,yes,Eat,6,2776
Food,Color,7,Eat,0,501
Org,Size,smaller,Idle,1,475
Org,Proximity,near,MoveToward,2,2671
Food,Size,larger,Attack,5,766
Org,Size,larger,MoveAway,0,325
Food,Proximity,near,Eat,7,340
Org,Mateable,no,MoveToward,0,325
Org,Size,similar,Idle,3,325
Org,Mateable,yes,MatingOff,3,325
Org,Newborn,no,MatingOff,5,325
Food,Newborn,no,MoveAway,0,331
Org,Proximity,far,MatingOn,6,20
Food,Color,3,Attack,3,10
Food,Size,larger,MatingOn,5,2860
Food,Newborn,yes,MatingOn,5,10
Food,Color,2,MoveToward,5,10
Food,Proximity,far,MoveAway,5,38
Org,Proximity,near,MatingOn,4,10
Org,Color,2,Eat,0,10
Food,Mateable,no,Eat,2,10
Org,Proximity,far,MatingOff,1,111
Org,Newborn,no,MatingOn,0,111
Food,Color,0,Eat,5,45
Food,Color,1,MatingOn,1,45
Org,Newborn,yes,MoveToward,6,45
Org,Proximity,far,Eat,7,3270
Org,Size,similar,MoveToward,4,2583
Food,Size,larger,Eat,4,73
Org,Proximity,near,Idle,3,247
Food,Proximity,near,MatingOn,7,38
Org,Color,3,MoveToward,4,10
Food,Size,larger,Idle,3,10
Org,Mateable,yes,MatingOn,5,38
Org,Newborn,yes,MoveAway,0,20
Food,Proximity,near,Attack,3,1628
Org,Proximity,far,MatingOn,3,41
Food,Newborn,yes,MatingOff,4,16
Org,Newborn,no,Eat,0,10
Org,Proximity,far,MoveToward,3,6
Org,Size,larger,MatingOn,2,6
Org,Newborn,yes,Idle,3,6
Org,Color,1,MoveToward,0,6
Org,Mateable,yes,MoveToward,3,73
Org,Proximity,far,MoveToward,7,6
Org,Size,larger,MoveAway,3,2866
Org,Size,smaller,MatingOff,0,6
Food,Color,2,MatingOn,3,666
Food,Color,1,MatingOff,6,666
Org,Newborn,no,Eat,6,666
Food,Size,similar,Eat,5,666
Food,Size,smaller,MoveAway,2,666
Org,Size,larger,MoveToward,6,666
Food,Size,larger,Idle,1,666
Org,Color,0,MatingOff,1,676
Org,Color,4,MatingOn,1,666
Org,Newborn,no,MatingOn,4,595
Food,Color,2,Idle,6,595
Food,Mateable,yes,Idle,2,595
Org,Color,1,Eat,3,631
Org,Color,5,MatingOn,4,601
Org,Newborn,yes,Attack,2,605
Food,Proximity,far,Eat,4,4567
Food,Proximity,near,Attack,7,595
Org,Proximity,far,MoveToward,2,1656
Org,Size,smaller,Attack,7,88
Food,Newborn,yes,MoveToward,6,10
Org,Size,larger,Eat,3,10
Org,Color,5,MoveAway,4,10
Org,Size,smaller,Eat,7,10
Org,Mateable,no,MatingOn,4,10
Food,Proximity,far,Eat,0,31
Food,Size,smaller,Eat,7,10
Food,Proximity,far,Eat,6,156
Org,Color,7,Eat,7,78
Food,Size,similar,Eat,0,93
Org,Color,4,Attack,3,78
Org,Proximity,far,MoveAway,2,78
Food,Size,smaller,Idle,7,78
Org,Color,3,MatingOn,2,144
Org,Newborn,yes,Idle,7,78
Org,Color,3,MatingOff,5,78
Food,Color,7,Attack,0,10
Food,Mateable,yes,Attack,6,10
Food,Color,5,Idle,1,10
Org,Color,4,MatingOff,3,10
Food,Color,5,MoveToward,3,10
Food,Size,larger,MoveToward,3,16
Org,Size,smaller,MatingOff,4,21
Org,Newborn,no,Eat,5,21
Food,Mateable,no,MatingOff,5,21
Food,Proximity,far,MoveAway,1,57
Org,Proximity,near,MatingOff,7,27
Org,Color,7,MoveAway,3,486
Food,Size,smaller,MatingOn,3,21
Org,Newborn,yes,MoveToward,7,93
Org,Size,larger,MatingOff,7,21
Food,Color,0,Eat,0,4692
Org,Proximity,near,Attack,1,2346
Org,Proximity,far,MatingOff,2,2382
Food,Color,5,Idle,0,2346
Org,Mateable,no,Eat,7,2377
Food,Size,larger,Eat,7,2367
Food,Size,larger,Eat,5,2356
Food,Proximity,near,Attack,0,3876
Food,Mateable,no,Attack,2,2850
Org,Proximity,far,Attack,3,2850
Food,Newborn,yes,MoveToward,2,2871
Food,Proximity,far,Idle,2,2850
Org,Color,1,Idle,5,2856
Org,Color,2,MoveToward,3,2850
Org,Proximity,far,MatingOff,3,2850
Food,Proximity,near,MatingOff,1,6
Org,Newborn,no,MatingOff,4,42
Food,Color,6,Eat,2,6
Food,Mateable,no,Attack,5,6
Food,Proximity,near,Attack,6,6
Org,Size,larger,Attack,5,42
Food,Size,larger,MoveAway,2,213
Food,Proximity,near,Attack,4,42
Org,Size,larger,Idle,1,6
Org,Newborn,no,MoveToward,7,136
Food,Size,larger,MoveAway,0,202
Org,Size,smaller,Idle,0,178
Org,Mateable,yes,Eat,7,136
Org,Proximity,near,MatingOff,2,136
Food,Newborn,no,Attack,5,136
Food,Size,larger,MatingOff,5,136
Food,Color,6,MatingOn,7,214
Food,Color,3,MatingOff,7,136
Food,Newborn,no,MatingOff,4,136
Food,Mateable,yes,MoveAway,5,28
Org,Proximity,near,MoveToward,4,28
Org,Proximity,far,Idle,3,28
Org,Newborn,yes,MoveToward,0,28
Food,Proximity,far,Eat,5,28
Org,Proximity,near,MatingOff,5,74
Food,Color,6,MatingOn,3,28
Food,Color,1,MatingOff,3,28
Org,Newborn,no,MoveAway,6,28
Food,Mateable,no,MoveAway,2,1609
Org,Proximity,near,Eat,6,2494
Org,Size,similar,Eat,1,1420
Food,Size,smaller,MoveToward,5,1384
Org,Proximity,far,MoveToward,1,1378
Org,Proximity,near,Eat,3,2240
Org,Mateable,no,MoveAway,2,1378
Org,Size,smaller,Attack,0,1444
Org,Size,similar,Attack,0,1414
Food,Newborn,yes,Attack,2,36
Food,Size,smaller,Attack,1,36
Org,Size,similar,MatingOff,7,36
Food,Color,7,MatingOff,3,36
Food,Newborn,no,MoveToward,4,36
Food,Size,larger,Eat,1,267
Org,Mateable,no,MoveAway,3,36
Org,Proximity,near,MoveAway,7,36
Org,Size,similar,MatingOff,6,36
Org,Proximity,far,Eat,6,261
Food,Mateable,no,Idle,6,78
Org,Color,3,Eat,0,78
Org,Color,4,Idle,1,78
Org,Mateable,yes,MoveToward,5,78
Org,Proximity,far,MatingOff,0,898
Org,Color,4,Idle,5,78
Food,Mateable,yes,MatingOff,6,345
Org,Color,7,Attack,7,78
Food,Size,larger,MatingOff,4,78
Food,Mateable,yes,MatingOn,7,435
Org,Color,3,MoveToward,2,435
Org,Size,larger,MoveAway,4,445
Org,Mateable,no,Eat,4,435
Org,Color,6,Attack,1,435
Food,Proximity,far,Attack,4,501
Org,Size,larger,Eat,7,3537
Org,Size,smaller,MoveAway,2,465
Org,Size,smaller,Eat,5,2545
Org,Color,6,MatingOff,1,465
Org,Color,4,MatingOff,4,465
Food,Color,6,Eat,4,465
Food,Proximity,near,Attack,5,465
Food,Size,larger,MoveAway,6,468
Org,Color,0,MoveAway,0,1144
Org,Mateable,no,MatingOn,2,595
Org,Newborn,yes,Eat,4,758
Org,Size,smaller,Idle,4,595
Food,Mateable,yes,Attack,7,595
Food,Size,larger,Idle,0,673
Org,Color,0,Eat,0,595
Food,Mateable,no,Idle,4,153
Org,Mateable,yes,Eat,0,153
Org,Proximity,near,Eat,4,156
Food,Mateable,yes,MoveAway,4,189
Org,Size,smaller,Eat,4,274
Org,Mateable,no,Idle,2,153
Org,Mateable,yes,Eat,1,973
Org,Size,smaller,MatingOn,2,189
Food,Color,6,Eat,1,6
Food,Mateable,no,MatingOff,3,6
Food,Newborn,yes,Eat,7,6
Food,Mateable,no,MatingOn,1,16
Org,Proximity,far,MoveAway,3,162
Org,Size,smaller,MoveToward,5,544
Org,Size,larger,MatingOn,6,6
Org,Color,1,MatingOn,4,21
Org,Newborn,yes,Attack,4,21
Food,Mateable,yes,MatingOff,7,21
Org,Color,7,MatingOff,7,31
Food,Newborn,no,MatingOff,6,21
Food,Newborn,no,Eat,1,21
Food,Size,smaller,MatingOff,4,21
Org,Color,6,Eat,6,21
Food,Mateable,no,Attack,4,21
Org,Newborn,yes,MatingOff,3,6
Org,Color,5,MatingOff,1,6
Food,Proximity,near,Eat,1,6
Org,Mateable,no,MatingOff,0,6
Org,Color,4,Eat,1,6
Food,Mateable,no,MoveToward,0,6
Org,Proximity,far,Eat,5,880
Org,Proximity,near,MatingOff,3,1897
Food,Color,5,MoveToward,7,6
Food,Color,4,Eat,2,820
Org,Size,larger,MoveToward,0,820
Food,Size,similar,Idle,0,820
Org,Proximity,near,MatingOn,2,991
Org,Color,1,Eat,6,820
Org,Size,similar,Eat,4,820
Food,Size,smaller,Idle,5,835
Org,Proximity,near,Attack,0,36
Org,Size,similar,Attack,5,57
Food,Proximity,far,MoveToward,7,75
Food,Proximity,far,MatingOn,0,36
Org,Newborn,yes,Idle,5,72
Org,Newborn,no,Attack,0,102
Food,Size,similar,Eat,6,36
Org,Proximity,far,MoveAway,7,10
Org,Proximity,near,MoveToward,3,10
Org,Size,smaller,Attack,4,76
Org,Proximity,far,Eat,3,10
Food,Proximity,near,MoveAway,5,10
Org,Color,3,Eat,3,20
Food,Color,5,MatingOff,4,10
Org,Mateable,yes,MatingOn,7,241
Org,Newborn,yes,MoveToward,5,231
Food,Size,larger,MatingOn,1,297
Org,Color,5,MoveToward,4,231
Org,Mateable,no,MoveToward,4,231
Org,Proximity,far,Idle,0,1221
Org,Mateable,yes,Idle,7,297
Org,Mateable,yes,MatingOn,2,1068
Org,Newborn,yes,Idle,1,72
Org,Mateable,yes,MatingOn,0,36
Org,Color,0,Attack,4,36
Food,Proximity,near,MoveToward,7,67
Food,Size,larger,MoveToward,0,48
Org,Size,similar,Idle,4,36
Org,Mateable,yes,Idle,3,36
Org,Mateable,yes,MoveToward,0,46
Org,Size,similar,Idle,1,36
Food,Size,similar,MoveAway,4,10
Org,Size,smaller,Idle,7,20
Org,Newborn,yes,MatingOn,2,10
Food,Newborn,yes,Attack,3,10
Food,Size,similar,Attack,0,10
Food,Newborn,yes,MoveToward,3,10
Org,Color,7,Attack,1,78
Org,Size,similar,MatingOff,5,78
Food,Color,6,MoveToward,4,78
Food,Proximity,far,Idle,7,78
Org,Newborn,yes,Attack,0,78
Org,Size,similar,Attack,2,78
Food,Proximity,far,Idle,4,78
Food,Color,2,Eat,2,78
Food,Color,4,Eat,1,1969
Food,Proximity,near,MoveAway,1,1891
Org,Color,5,MoveAway,2,3971
Food,Size,smaller,Idle,0,1891
Org,Color,0,Eat,2,2005
Org,Size,smaller,MatingOn,3,1891
Org,Newborn,yes,MoveAway,1,1897
Org,Size,smaller,MatingOff,1,2594
Org,Color,1,MatingOff,1,28
Org,Newborn,no,MoveAway,7,49
Food,Proximity,near,MatingOff,0,28
Org,Newborn,no,Attack,5,38
Org,Color,3,MoveAway,7,28
Food,Size,similar,MatingOff,6,28
Org,Newborn,no,Eat,1,269
Food,Color,4,MatingOff,0,28
Food,Proximity,far,MoveAway,3,10
Org,Proximity,far,MatingOn,0,10
Org,Mateable,no,Idle,3,10
Org,Mateable,yes,MatingOn,3,31
Org,Mateable,yes,Attack,1,990
Org,Proximity,far,MoveAway,0,1005
Food,Mateable,yes,Eat,4,990
Food,Mateable,no,MatingOn,2,990
Org,Newborn,yes,Eat,1,1518
Org,Size,smaller,MatingOn,6,1047
Org,Color,3,Idle,7,990
Org,Color,3,Attack,5,300
Food,Color,2,Attack,0,300
Food,Proximity,near,MatingOff,5,300
Org,Color,6,MoveToward,3,300
Food,Proximity,far,MatingOff,5,441
Org,Newborn,no,MatingOff,7,300
Food,Color,7,MatingOff,6,609
Food,Newborn,no,Eat,3,300
Food,Proximity,near,MatingOff,3,16
Food,Size,similar,MatingOn,2,6
Org,Color,1,Idle,1,6
Org,Color,2,MatingOn,2,6
Food,Color,1,Idle,7,6
Org,Color,3,MatingOn,1,6
Org,Proximity,near,MoveAway,4,6
Org,Size,smaller,Attack,1,58
Food,Proximity,far,MatingOn,1,13
Org,Newborn,yes,MatingOn,7,3
Org,Color,3,MatingOff,7,3
Food,Newborn,no,MatingOff,7,3
Food,Newborn,no,MatingOn,4,3
Food,Newborn,yes,Eat,5,3
Org,Size,larger,Attack,0,36
Food,Proximity,far,Attack,2,36
Food,Proximity,far,Eat,7,36
Food,Size,similar,MatingOn,3,36
Food,Newborn,yes,MatingOff,5,36
Org,Newborn,no,MatingOn,2,56
Food,Color,1,Attack,7,36
Org,Size,larger,MoveToward,5,36
Food,Size,larger,MatingOn,7,36
Food,Mateable,no,MoveToward,6,249
Org,Proximity,far,Eat,0,84
Food,Size,smaller,MoveToward,0,78
Org,Size,similar,Attack,4,78
Org,Proximity,far,Eat,4,106
Food,Mateable,no,Attack,3,2949
Org,Proximity,far,MatingOn,2,627
Food,Newborn,yes,Idle,7,78
Food,Size,smaller,MoveToward,6,2856
Org,Size,similar,MatingOn,7,2850
Food,Newborn,yes,MoveAway,5,2850
Food,Size,smaller,MatingOff,2,2850
Org,Color,5,Idle,2,2850
Food,Color,1,Eat,5,2850
Org,Color,5,Idle,6,6
Org,Color,3,Attack,3,996
Org,Size,larger,MoveToward,1,6
Food,Size,similar,MatingOff,7,6
Org,Color,7,MoveToward,6,6
Food,Size,larger,Idle,2,6
Org,Color,2,MoveToward,2,6
Org,Proximity,far,Idle,5,6
Org,Color,2,MoveAway,1,6
Org,Color,5,MatingOn,6,15
Food,Newborn,yes,Eat,6,15
Food,Color,4,Attack,6,15
Food,Color,7,Attack,2,15
Org,Color,2,MoveToward,1,15
Food,Newborn,yes,Idle,1,10
Org,Color,0,MoveAway,5,10
Org,Proximity,near,MoveAway,2,10
Org,Color,3,MoveAway,6,10
Org,Size,similar,Eat,3,10
Org,Size,smaller,MoveAway,6,67
Org,Color,2,Idle,5,21
Org,Color,1,MoveAway,5,21
Org,Size,smaller,MoveAway,4,21
Org,Mateable,no,Attack,4,21
Org,Size,larger,Eat,0,21
Food,Newborn,yes,Eat,2,21
Org,Newborn,yes,Eat,3,36
Food,Mateable,no,MatingOff,1,36
Org,Newborn,no,MoveToward,0,36
Food,Proximity,far,Attack,7,36
Org,Proximity,far,MoveToward,5,48
Org,Color,4,MoveToward,6,36
Food,Mateable,no,MoveToward,1,703
Org,Size,similar,MatingOff,3,703
Org,Color,5,MatingOn,0,703
Food,Newborn,yes,Attack,1,703
Org,Proximity,far,MoveToward,4,1264
Food,Proximity,far,Attack,6,703
Org,Proximity,far,Eat,1,703
Food,Color,4,MoveToward,6,703
Food,Color,4,MatingOff,7,78
Food,Newborn,no,Eat,5,309
Org,Color,3,MoveAway,5,78
Food,Size,smaller,MatingOn,0,2158
Org,Size,similar,MoveAway,4,78
Food,Size,smaller,MoveToward,4,21
Org,Size,larger,Idle,5,21
Org,Mateable,yes,MoveAway,7,21
Org,Proximity,near,MatingOff,1,582
Org,Size,larger,MoveToward,7,21
Org,Size,larger,MoveToward,4,21
Food,Size,smaller,MatingOn,6,36
Food,Color,3,Eat,2,36
Food,Color,5,Eat,1,36
Org,Color,5,MoveToward,2,267
Food,Proximity,far,Idle,6,36
Org,Color,3,Eat,5,36
Food,Size,similar,Eat,7,2080
Food,Size,similar,MatingOn,7,2080
Food,Newborn,yes,MoveAway,3,2080
Org,Color,6,MatingOff,2,2080
Org,Color,5,Eat,7,2080
Org,Newborn,no,MatingOff,1,36
Food,Newborn,no,MoveAway,5,36
Food,Proximity,near,MoveAway,4,36
Org,Proximity,near,Attack,4,36
Org,Proximity,far,Idle,1,36
Org,Color,7,Eat,3,267
Food,Color,5,MoveAway,3,36
Org,Color,5,Eat,1,6
Org,Proximity,far,MoveAway,6,6
Org,Proximity,near,Idle,4,40
Org,Color,2,Eat,4,6
Food,Mateable,yes,Eat,0,6
Org,Proximity,near,Eat,1,16
Org,Size,larger,Attack,6,10
Org,Size,larger,Idle,7,10
Food,Color,3,MoveToward,7,10
Org,Size,smaller,MatingOff,7,10
Food,Newborn,yes,Eat,1,10
Org,Proximity,near,Eat,2,583
Org,Mateable,no,Eat,0,528
Org,Color,4,Idle,7,528
Org,Color,1,Attack,0,528
Org,Size,similar,Eat,7,549
Food,Color,3,Idle,2,21
Food,Color,1,Idle,4,21
Org,Color,2,Idle,7,3024
Org,Mateable,yes,MoveAway,0,21
Org,Size,smaller,Idle,5,21
Org,Newborn,yes,MatingOn,1,27
Org,Newborn,yes,MatingOff,0,21
Food,Mateable,yes,Eat,2,28
Org,Color,1,MatingOff,6,28
Org,Newborn,no,Idle,6,38
Food,Color,3,Eat,0,28
Org,Size,smaller,Attack,6,34
Food,Color,6,Eat,3,28
Food,Mateable,yes,Eat,1,15
Org,Color,4,MoveToward,0,15
Org,Proximity,far,Attack,1,93
Org,Mateable,no,MoveAway,1,15
Org,Size,smaller,MoveAway,0,15
Org,Proximity,near,Attack,6,15
Food,Size,similar,MoveAway,7,15
Org,Mateable,yes,MoveToward,7,171
Org,Size,larger,MoveToward,3,171
Org,Size,larger,MatingOff,6,171
Org,Newborn,no,Eat,2,171
Food,Color,5,Eat,5,171
Org,Color,6,MoveToward,2,171
Org,Color,6,MatingOn,5,171
Org,Color,2,MatingOff,1,171
Food,Color,4,MatingOn,0,171
Org,Proximity,far,Attack,4,76
Food,Proximity,far,Attack,5,66
Food,Proximity,far,MoveToward,4,72
Food,Size,smaller,Eat,2,66
Food,Size,larger,MoveToward,7,10
Org,Newborn,yes,MatingOn,4,16
Org,Color,2,Attack,5,10
Food,Proximity,far,MatingOff,7,10
Food,Color,7,MoveToward,4,10
Food,Size,larger,Attack,1,10
Org,Proximity,far,MoveAway,1,16
Food,Proximity,near,MatingOn,4,181
Org,Color,5,MoveToward,7,66
Food,Newborn,yes,MatingOn,3,66
Org,Color,1,MatingOff,2,66
Food,Size,similar,Idle,4,66
Org,Color,2,Idle,1,105
Org,Mateable,yes,MoveAway,6,126
Org,Size,smaller,MoveToward,7,105
Org,Newborn,no,MoveAway,1,105
Food,Proximity,near,MoveAway,0,105
Org,Proximity,near,Attack,7,105
Org,Mateable,no,MoveAway,6,21
Org,Size,similar,MoveToward,0,21
Food,Size,similar,Attack,2,31
Org,Proximity,far,Idle,2,21
Food,Color,1,Eat,4,21
Org,Color,6,Idle,1,21
Org,Color,1,MoveAway,0,21
Org,Color,3,Eat,4,55
Food,Proximity,near,Idle,4,65
Org,Color,2,Eat,3,55
Org,Mateable,no,MoveAway,0,55
Food,Mateable,no,Eat,5,55
Org,Size,smaller,MoveToward,3,55
Org,Color,5,MatingOff,2,10
Food,Newborn,no,Idle,3,46
Food,Color,1,MoveToward,3,10
Org,Size,larger,MoveAway,2,10
Org,Size,smaller,Idle,6,10
Org,Color,5,MatingOff,4,10
Food,Mateable,yes,Idle,1,10
Org,Color,0,MatingOn,7,88
Food,Proximity,far,Eat,3,6
Food,Color,5,MatingOn,5,6
Food,Color,2,Attack,7,6
Food,Proximity,far,MoveToward,1,6
Org,Proximity,far,Idle,4,6
Org,Size,larger,Attack,1,36
Food,Size,similar,MoveToward,3,36
Org,Size,larger,MatingOff,0,36
Org,Newborn,no,Attack,3,36
Food,Newborn,no,MatingOff,2,36
Food,Color,5,Eat,6,36
Food,Size,similar,Idle,1,36
Food,Color,0,MatingOff,4,42
Food,Mateable,yes,MatingOn,0,36
Org,Color,3,MatingOff,3,36
Org,Mateable,yes,Attack,5,36
Org,Color,6,Attack,3,6
Org,Proximity,far,Attack,6,6
Food,Size,larger,Attack,7,177
Food,Color,0,Eat,1,21
Org,Proximity,near,MatingOn,0,21
Org,Color,0,Idle,2,21
Org,Mateable,yes,Attack,0,21
Food,Proximity,far,MoveToward,6,27
Org,Size,smaller,Idle,3,21
Org,Mateable,yes,MoveAway,5,31
Food,Newborn,no,Idle,5,10
Food,Mateable,yes,MoveAway,1,10
Org,Mateable,yes,Eat,2,52
Org,Proximity,near,Idle,0,10
Org,Color,0,Attack,5,10
Org,Proximity,far,MatingOff,5,181
Food,Color,6,MoveAway,1,10
Food,Color,2,Idle,7,78
Org,Mateable,yes,MoveAway,1,3081
Org,Size,smaller,MatingOn,1,78
Org,Color,0,MoveToward,7,78
Org,Size,smaller,MatingOff,5,78
Org,Newborn,no,MatingOff,0,78
Food,Proximity,near,MoveToward,0,78
Org,Proximity,far,Eat,2,78
Org,Size,similar,MoveToward,6,990
Org,Size,larger,Eat,1,990
Org,Color,4,MatingOff,1,990
Org,Color,4,MoveAway,3,990
Food,Proximity,near,MatingOn,1,990
Food,Size,larger,MoveAway,1,990
Food,Size,smaller,MoveAway,6,990
Food,Size,smaller,MatingOff,7,10
Org,Newborn,no,MatingOff,6,10
Food,Newborn,no,Eat,6,10
Food,Size,larger,Idle,6,10
Food,Color,3,Eat,4,10
Org,Color,6,Attack,5,571
Org,Proximity,far,MatingOff,4,10
Food,Color,6,Idle,7,10
Food,Mateable,yes,MatingOff,4,10
Food,Color,1,Attack,5,171
Org,Size,larger,MoveAway,7,171
Org,Newborn,yes,Eat,5,171
Org,Newborn,no,MatingOn,6,78
Food,Newborn,yes,Attack,6,78
Food,Color,0,Attack,0,78
Food,Proximity,far,MoveToward,2,88
Org,Color,3,MoveToward,6,78
Food,Size,larger,Idle,4,78
Org,Size,larger,Idle,0,10
Food,Mateable,yes,Idle,3,16
Org,Mateable,yes,MatingOff,2,10
Food,Color,5,MoveToward,5,10
Food,Size,larger,MoveToward,4,10
Org,Color,1,Eat,7,10
Org,Color,7,MatingOff,0,10
Org,Color,0,MatingOn,0,10
Org,Color,0,Idle,7,10
Org,Proximity,near,MoveToward,5,10
Food,Color,3,Eat,7,3003
Org,Color,7,MoveToward,3,3009
Org,Size,larger,MoveAway,5,3003
Org,Size,smaller,MoveToward,0,6006
Org,Proximity,far,Idle,6,3003
Org,Mateable,yes,Idle,4,3003
Food,Proximity,near,Idle,0,36
Org,Color,7,MatingOff,1,36
Org,Color,6,MatingOff,6,36
Food,Color,4,Idle,5,36
Org,Color,5,Idle,1,21
Org,Proximity,near,Attack,2,21
Food,Color,3,MoveToward,2,21
Org,Proximity,near,MatingOn,1,21
Org,Size,similar,Eat,2,6
Org,Proximity,near,Attack,5,6
Org,Size,larger,MatingOff,3,6
Food,Color,5,MoveToward,6,6
Food,Size,larger,Eat,0,6
Org,Color,4,Idle,4,6
Org,Mateable,no,Idle,0,6
Food,Proximity,far,MoveAway,4,6
Org,Mateable,yes,Eat,6,6
Org,Proximity,near,Idle,1,6
Org,Color,6,Attack,0,6
Food,Proximity,far,Idle,0,6
Org,Mateable,yes,MatingOn,1,6
Org,Newborn,no,Eat,4,231
Food,Proximity,near,Idle,5,267
Food,Color,5,MoveAway,1,231
Org,Size,smaller,MatingOff,6,231
Org,Color,7,Eat,0,231
Food,Color,4,Idle,7,231
Food,Color,2,Eat,3,66
Food,Proximity,near,MoveAway,7,66
Org,Size,similar,MatingOn,1,66
Food,Color,0,Idle,6,66
Org,Newborn,yes,Eat,7,72
Org,Size,larger,Attack,2,231
Food,Color,4,MatingOn,2,231
Org,Color,1,Idle,2,231
Food,Size,larger,Eat,3,6
Org,Size,smaller,MatingOn,0,6
Food,Newborn,no,MoveAway,6,6
Food,Size,similar,Idle,5,6
Org,Color,5,Idle,7,6
Food,Color,3,MatingOff,5,6
Org,Newborn,no,MoveToward,2,561
Org,Mateable,no,Eat,1,561
Org,Proximity,near,MoveAway,1,561
Org,Proximity,near,MatingOn,5,561
Org,Color,2,MoveAway,2,561
Food,Color,2,MatingOff,6,36
Org,Color,7,Attack,3,36
Food,Size,larger,MoveAway,5,36
Food,Size,smaller,MatingOff,3,36
Org,Color,5,MatingOff,7,36
Food,Newborn,no,MoveAway,1,36
Food,Size,smaller,MatingOn,2,36
